Ticker;CompanyName;Country;Sector;Industry;CP;StartP;MinP;MaxP;Vol;MA;Shares;EV;EPS;Debt;Assets;Equity;Cash;CFOpeAct;CapExp;FCF;netIncome;Sales;MCap;Debts;ROA;FCFyield;PER;Pr6m;Signal;Quality;Quality;Momentum;Momentum;Final_rank;Final;
AMP.MI;Amplifon;Italy;Healthcare;Medical Instruments & Supplies;40.7799987793;33.6456375122;29.8586406708;42.1500015259;589671.452380952;36.0873818776;91197211;10170815488;0.525;2479274000;3310609000;830286000;557677000;88451000;-8213000;80238000;23273000;440902000;3719022153.25528;28.0299148681;0.0070298244;0.0078890429;77.676188151;1.2120441696;HOLD;94;42.3423423423;143;64.4144144144;119.5;53.8288288288;
LIGHT.AS;SIGNIFY NV;Netherlands;Industrials;Electrical Equipment & Parts;48.6100006104;40.3631668091;35.0793685913;54.2200012207;487744.896825397;44.9169637892;124397470;7259428352;2.735;5.665e+09;7.814e+09;2.018e+09;9.45e+08;1.34e+08;-2.3e+07;1.11e+08;5.9e+07;1.599e+09;6046961092.62619;42.276119403;0.0075505503;0.0152904602;17.7733091811;1.2043158269;BUY;96;43.2432432432;141;63.5135135135;119.5;53.8288288288;
STM.PA;STMicroelectronics;Switzerland;Technology;Semiconductors;32.1699981689;33.3884963989;28.3254051208;35.4316711426;2737361.92857143;31.541646579;660697100;29121236992;1.172;6.362e+09;1.4978e+10;8.557e+09;3.454e+09;6.82e+08;-4.05e+08;2.77e+08;3.64e+08;3.016e+09;21254624497.2275;9.3284457478;0.0243023101;0.0095119586;27.4488038984;0.9635054476;BUY;203.5;91.6666666667;27;12.1621621622;118;53.1531531532;
ABI.BR;AB InBev;Belgium;Consumer Defensive;Beverages—Brewers;56;54.842540741;47.058883667;65.3399963379;1487225.46825397;57.0545597682;928061680;207949021184;1.8;0;0;6.8024e+10;0;0;0;0;5.95e+08;1.2293e+10;51971454080;NA;Inf;0;31.1111111111;1.0211051356;HOLD;184;82.8828828829;46;20.7207207207;117;52.7027027027;
SHL.DE;Siemens Healthineers;Germany;Healthcare;Diagnostics & Research;55.1800003052;45.5217781067;44.5349998474;55.1800003052;690797.650793651;48.3087995923;273257023;75157831680;1.504;2.2006e+10;3.6776e+10;1.4762e+10;5.59e+08;5.02e+08;-1.43e+08;3.59e+08;4.43e+08;3.965e+09;15078322612.5314;43.8366533865;0.0120458995;0.0047766147;36.6888299901;1.2121670682;HOLD;83.5;37.6126126126;144;64.8648648649;116;52.2522522523;
SAMPO.HE;Sampo Oyj A;Finland;Financial Services;Insurance—Diversified;40.6699981689;35.0584754944;34.5887298584;41;1023830.52459016;37.8037579333;442604317;19674425344;0.626;4.6577e+10;5.9556e+10;1.2186e+10;3.427e+09;8.95e+08;0;8.95e+08;4.54e+08;3.941e+09;18000716761.9573;52.0413407821;0.0076230774;0.0454905282;64.9680481932;1.1600617995;BUY;111;50;116;52.2522522523;115;51.8018018018;
KRZ.IR;Kerry Group;Ireland;Consumer Defensive;Packaged Foods;121.5;112.9744491577;99.3996124268;122.3499984741;293405.03968254;110.0031423417;155920112;24008484864;3.125;4787600000;9443100000;4655500000;563100000;270350000;-58250000;212100000;170500000;1769700000;18944293608;17.7088958757;0.0180555114;0.0088343767;38.88;1.0754644161;HOLD;160.5;72.2972972973;65;29.2792792793;114;51.3513513514;
ADS.DE;Adidas;Germany;Consumer Cyclical;Footwear & Accessories;309.5;259.257019043;249.905960083;322.700012207;547162.738095238;287.3867348565;174025762;62263726080;4.906;1.4172e+10;2.1697e+10;7.281e+09;3.923e+09;1.12e+08;-5.4e+07;5.8e+07;5.58e+08;5.268e+09;53860973339;126.5357142857;0.0257178412;0.0009315215;63.0860171219;1.1937960297;BUY;90;40.5405405405;135;60.8108108108;112;50.4504504505;
FRE.DE;Fresenius;Germany;Healthcare;Medical Care Facilities;45.8899993896;36.0713577271;33.9131584167;45.8899993896;1516224.92063492;40.1744955154;408834148;59694993408;3.019;4.1452e+10;6.8966e+10;1.7807e+10;1.877e+09;6.52e+08;-4.17e+08;2.35e+08;4.35e+08;8.984e+09;18761398802.1874;63.5766871166;0.0063074558;0.0039366785;15.2003972804;1.2722005015;HOLD;53;23.8738738739;172;77.4774774775;112;50.4504504505;
GLE.PA;Société Générale;France;Financial Services;Banks—Regional;24.1450004578;16.7253665924;15.1139202118;26.75;4037355.15079365;22.2869991802;798823090;-288326123520;0.138;1.434671e+12;1.502982e+12;6.292e+10;1.77582e+11;0;0;0;8.14e+08;5.969e+09;19287583873.7222;Inf;0.00054159;0;174.9637714331;1.4436156197;BUY;13;5.8558558559;212;95.4954954955;112;50.4504504505;
HEN.DE;HENKEL AG+CO.KGAA ST O.N.;Germany;Consumer Defensive;Household & Personal Products;76.8499984741;75.5457077026;71.8271408081;84.3499984741;103655.865079365;79.3778282044;274246682;35167420416;3.242;1.2371e+10;3.025e+10;1.7778e+10;1.727e+09;9.69e+08;-2.05e+08;7.64e+08;3.16e+08;4882500000;21075857093.2328;12.7667698658;0.010446281;0.0217246528;23.7045029223;1.0172649223;HOLD;180;81.0810810811;43;19.3693693694;109.5;49.3243243243;
MB.MI;Mediobanca;Italy;Financial Services;Banks—Regional;10.0249996185;7.3979997635;7.3639998436;10.095000267;4066198.92063492;9.4097222298;428574773;28963883008;0.704;72825800000;83765400000;10851600000;0;0;0;0;193300000;618100000;4296461935.8367;Inf;0.0023076354;0;14.2400562763;1.3550959636;BUY;24;10.8108108108;199;89.6396396396;109.5;49.3243243243;
DG.PA;Vinci;France;Industrials;Engineering & Construction;89.1900024414;81.7283172607;74.8833999634;96.2399978638;1029087.87301587;88.6872374519;454758519;74086178816;2.2;6.8141e+10;9.1165e+10;2.0863e+10;1.1765e+10;2747500000;-2.85e+08;2462500000;7.68e+08;1.2612e+10;40559913419.8603;24.8010919017;0.0084242856;0.0332383184;40.5409102006;1.0912986518;BUY;149;67.1171171171;73;32.8828828829;108;48.6486486486;
HEN3.DE;Henkel;Germany;Consumer Defensive;Household & Personal Products;85.5400009155;83.9009780884;80.0542984009;97.4199981689;432182.253968254;90.3552390205;274246682;38863126528;3.242;1.2371e+10;3.025e+10;1.7778e+10;1.727e+09;9.69e+08;-2.05e+08;7.64e+08;3.16e+08;4882500000;23459061429.3603;12.7667698658;0.010446281;0.0196587374;26.3849478456;1.0195352052;HOLD;176.5;79.5045045045;45;20.2702702703;107;48.1981981982;
DWNI.DE;DEUTSCHE WOHNEN;Germany;Real Estate;Real Estate—Development;52.7000007629;40.0733642578;37.4560470581;52.7000007629;1397615;44.8806131151;323951025;29287438336;4.24;16667100000;3.0708e+10;13596300000;202400000;9.2e+07;-214700000;-122700000;196300000;519700000;17072219264.655;181.1641304348;0.006392471;-0.0041895095;12.429245463;1.3150880077;HOLD;33;14.8648648649;188;84.6846846847;106;47.7477477477;
BG.VI;BAWAG Group AG;Austria;Financial Services;Banks—Regional;48.6599998474;35.8433151245;35.8433151245;48.6599998474;127771.992;44.182042572;65829150;11008921600;3.159;4.8604e+10;5.2975e+10;4.371e+09;0;0;0;0;73600000;271900000;3203246428.95527;Inf;0.0013893346;0;15.4036086886;1.3575753157;HOLD;18;8.1081081081;202;90.990990991;104.5;47.0720720721;
KOJAMO.HE;Kojamo Oyj;Finland;Real Estate;Real Estate Services;20.6599998474;17.5142230988;15.4813222885;20.9799995422;461888.090163934;18.0237147065;199131657;7945460224;1.67;4042700000;7410300000;3367600000;189900000;32200000;0;32200000;141800000;97200000;4114060003.23492;125.549689441;0.0191355276;0.0040526287;12.3712573937;1.1796126914;HOLD;91;40.990990991;129;58.1081081081;104.5;47.0720720721;
COLR.BR;Colruyt;Belgium;Consumer Defensive;Grocery Stores;47.6300010681;50.4000015259;45.8499984741;52.0200004578;180282;49.6009523604;125368369;6569836032;3.065;2668100000;5195300000;2.523e+09;284500000;208600000;-123700000;84900000;84800000;2470300000;5971295549.37786;12.7905081496;0.0163224453;0.0129226969;15.5399677221;0.9450396751;HOLD;194;87.3873873874;24;10.8108108108;103;46.3963963964;
JMT.LS;Jerónimo Martins;Portugal;Consumer Defensive;Food Distribution;16.6000003815;13.8468294144;12.176738739;16.9300003052;731423.126984127;14.3589267579;243411426;12420289536;0.533;7052918000;9337838000;2049022000;1027643000;198509000;-112752000;85757000;57718000;4786089000;4040629764.45409;35.5294621403;0.0061810882;0.0069045894;31.1444660065;1.1988304243;HOLD;77.5;34.9099099099;137;61.7117117117;102;45.9459459459;
UCB.BR;UCB;Belgium;Healthcare;Biotechnology;88.9000015259;85.6081237793;75.3000030518;91.4000015259;307083.047619048;81.612389398;120923352;18227947520;3.77;6.047e+09;1.3319e+10;7.271e+09;1.336e+09;3.52e+08;-9.5e+07;2.57e+08;184500000;1369500000;10750086177.3144;17.1789772727;0.0138523913;0.0140992287;23.5809022615;1.0384528664;BUY;165;74.3243243243;49;22.0720720721;101;45.4954954955;
ASML.AS;ASML Holding;Netherlands;Technology;Semiconductor Equipment & Materials;577.299987793;469.202331543;427.2229309082;609.0999755859;818131.746031746;519.0982479519;409678485;260691017728;11.481;13589800000;27218700000;13628900000;3243800000;-941700000;-189400000;-1131100000;1331400000;4363900000;236507384389.542;-14.4311351811;0.0489149004;-0.004338853;50.2830753238;1.2303860168;HOLD;60;27.027027027;152;68.4684684685;99.5;44.8198198198;
