"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"PIRC.MI","Pirelli","Italy","Consumer Cyclical","Auto Parts",5.19399976730347,4.69920635223389,4.50828552246094,5.44999980926514,2841124.30232558,4.92996676393258,262440000,9451158528,0.256,8015686000,12814358000,4680891000,785015000,292007000,-32341000,259666000,84090000,1377613000,1363113298.93112,27.4503213964049,0.00656217034048838,0.0274745153444113,20.2890615910292,1.10529297459652,"BUY",180.5,52.4709302325581,137,39.8255813953488,148,43.0232558139535
"COP.DE","COMPUGROUP MED. NA O.N.","Germany","Healthcare","Health Information Services",80.6500015258789,68.3811798095703,62.029369354248,81.3000030517578,79628.7016129032,70.2852267296084,25712004,4752051712,1.317,1107322000,1683947000,576311000,90473000,7799000,-4533000,3266000,17163000,248891000,2073673161.8334,141.982561866906,0.0101921259992149,0.000687282083179485,61.2376625101586,1.1794181052517,"HOLD",117.5,34.156976744186,199,57.8488372093023,146.5,42.5872093023256
"FAE.MC","Faes Farma","Spain","Healthcare","Drug Manufacturers—Specialty & Generic",3.40799999237061,3.73108124732971,3.22399997711182,3.79054069519043,367792.317829457,3.45043063163757,287395195,902999104,0.258,0,0,471395000,0,0,0,0,21486000,104924000,979442822.367349,NA,Inf,0,13.2093022960101,0.913408142695812,"HOLD",290.5,84.4476744186046,26,7.55813953488372,146.5,42.5872093023256
"CASH.MC","PROSEGUR CASH S.A.","Spain","Industrials","Integrated Freight & Logistics",0.778999984264374,0.73336535692215,0.717914819717407,0.912720859050751,835740.370967742,0.78863628160569,331821011,1921721216,0.016,1602900000,1710500000,107600000,365900000,4.5e+07,-14900000,30100000,3.3e+07,345500000,258488562.347589,35.62,0.0192926045016077,0.015663041938337,48.6874990165234,1.06222631995292,"HOLD",212,61.6279069767442,103,29.9418604651163,145,42.1511627906977
"BRNL.AS","Brunel International","Netherlands","Industrials","Staffing & Employment Services",10.8400001525879,8.75631713867188,8.70767116546631,11.6800003051758,73608.3387096774,10.5973483670142,19966351,471517792,0.48,149862000,421560000,270648000,112825000,-626500,-273000,-899500,5630000,213559000,216435247.886623,-239.205107741421,0.0133551570357719,-0.00190766926563823,22.5833336512248,1.23796340184089,"BUY",72,20.9302325581395,241,70.0581395348837,143.5,41.7151162790698
"IG.MI","Italgas","Italy","Utilities","Utilities—Regulated Gas",5.63399982452393,4.64860105514526,4.64288806915283,5.99599981307983,1980463.03100775,5.40268089974573,429420158,9591361536,0.495,7175833000,9094560000,1690734000,684908000,0,0,0,89974000,703375000,2419353094.81904,Inf,0.00989316690417128,0,11.3818178273211,1.21197748692329,"BUY",88,25.5813953488372,225,65.4069767441861,143.5,41.7151162790698
"EKT.MC","EUSKALTEL","Spain","Communication Services","Telecom Services",10.9399995803833,8.26103973388672,8.07396030426025,11.0200004577637,298285.333333333,10.4703692724538,178471878,3504385536,0.206,1924400000,2.933e+09,1008600000,95900000,0,0,0,-2100000,174200000,1952482270.43022,Inf,-0.000715990453460621,0,53.1067940795306,1.32428845917633,"BUY",33,9.59302325581395,279,81.1046511627907,142,41.2790697674419
"BPOST.BR","BPOST","Belgium","Industrials","Integrated Freight & Logistics",8.36499977111816,9.60499954223633,8.04500007629395,11.0699996948242,433896.903225806,9.47576612041843,98780835,2425057536,0.064,3009400000,3702300000,691800000,911200000,157100000,-16700000,140400000,80700000,1007400000,826301662.165861,19.15595162317,0.0217972611619804,0.0578955335763217,130.703121423721,0.87090059029514,"HOLD",297.5,86.4825581395349,13,3.77906976744186,141,40.9883720930233
"BRE.MI","Brembo","Italy","Consumer Cyclical","Auto Parts",12.1800003051758,10.5386266708374,9.86344909667969,12.3999996185303,498911.064516129,10.7697296680943,98086015,4467382784,0.752,1746457000,3340664000,1562547000,510523000,33953000,-36592000,-2639000,61353000,681777000,1194687692.63348,51.4374871145407,0.0183655105691563,-0.000590726187478633,16.1968089164572,1.15574834232248,"HOLD",130,37.7906976744186,179,52.0348837209302,139.5,40.5523255813954
"TLX.DE","TALANX AG NA O.N.","Germany","Financial Services","Insurance—Diversified",38.7400016784668,34.1551933288574,33.6562995910645,38.7400016784668,120545.069767442,35.3537112686985,52996496,17143323648,2.66,1.63913e+11,1.81037e+11,1.0392e+10,3.477e+09,1.422e+09,-5.4e+07,1.368e+09,1.53e+08,9.98e+09,2053084343.99286,115.269338959212,0.000845131105796053,0.0797978284776532,14.5639104054386,1.13423458931898,"HOLD",150,43.6046511627907,159,46.2209302325581,139.5,40.5523255813954
"LNA.PA","LNA SANTE","France","Healthcare","Medical Care Facilities",52.5999984741211,46.8226432800293,44.4815101623535,53.7999992370605,6272.14728682171,49.560626628787,4853340,1355511424,0.815,1301201000,1497052000,188645000,121034000,42084500,-2742500,39342000,2649000,147799000,255285676.594391,30.9187705687367,0.00176947761333608,0.029023731783761,64.5398754283694,1.12338806161667,"BUY",157,45.6395348837209,150,43.6046511627907,138,40.1162790697674
"RBI.VI","Raiffeisen Bank International AG","Austria","Financial Services","Banks—Regional",20.6599998474121,16.5458164215088,16.5458164215088,21.1599998474121,433086.356589147,19.0646684483964,135166916,-1316500480,2.914,1.61576e+11,1.76152e+11,1.3709e+10,4.0159e+10,6.864e+09,-6.7e+07,6.797e+09,2.16e+08,1.176e+09,2792548463.93517,23.539627039627,0.00122621372451065,-5.16293013429057,7.08991072320251,1.24865399936114,"BUY",52,15.1162790697674,254,73.8372093023256,137,39.8255813953488
"VAR1.DE","VARTA AG O.N.","Germany","Industrials","Electrical Equipment & Parts",134,111.684043884277,104.218795776367,164.050003051758,234362.75,128.313936048938,17494708,5273177088,2.36,575758000,1105720000,529656000,72833000,-3880000,-44200000,-48080000,24332000,205022000,2344290872,-148.391237113402,0.0220055710306407,-0.00911784284836823,56.7796610169492,1.19981328880646,"BUY",89.5,26.0174418604651,216,62.7906976744186,136,39.5348837209302
"SON.LS","Sonae","Portugal","Consumer Cyclical","Department Stores",0.916000008583069,0.64764392375946,0.631652772426605,0.916000008583069,3556129.33333333,0.771546873473382,788469138,4625586688,0.063,5750568793,8107192938,1991870772,705362796,-232479342,-64524719,-297004061,641289,1659782115,722237737.175485,-24.7358270353329,7.91012382342787e-05,-0.0642089492713448,14.5396826759217,1.4143574501029,"HOLD",5,1.45348837209302,300,87.2093023255814,134.5,39.0988372093023
