"CompanyName","Ticker","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","EPS","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"BET-AT-HOME.COM AG O.N.","ACX.DE",43.7000007629395,36.0499992370605,29.3500003814697,44,9860.84677419355,36.2213708969855,3320216,252445712,44242980,95135586,50892604,51807043,0,0,0,8861041,34920289,145093441.733124,Inf,0.0931411827326107,0,2.66881461928983,16.374311069447,1.21220531727542,"HOLD",188,46.3054187192118,183,45.0738916256158,177,43.5960591133005
"CTAC","CTAC.AS",3.35999989509583,2.08999991416931,1.89999997615814,3.5,18380.0238095238,2.61865077510713,4178256,55391224,42031000,64520000,22489000,10552000,0,0,0,0,0,14038939.7216835,Inf,0,0,0,Inf,1.60765551822106,"HOLD",38,9.35960591133005,332,81.7733990147783,176,43.3497536945813
"POUJOULAT","ALPJT.PA",33.5999984741211,18.6000003814697,17.8168430328369,33.5999984741211,349.793650793651,25.3753465924944,437602,156024304,160183000,245871000,84497000,4417000,-8285500,-3638500,-11924000,665000,49683000,14703426.5322723,-19.3329310240782,0.00270467033525711,-0.0764239909700222,1.51964570545838,22.1104158380035,1.80645149381799,"HOLD",8,1.97044334975369,360,88.6699507389163,175,43.1034482758621
"MIQUEL Y COSTAS MIQUEL","MCM.MC",14.5200004577637,11.4689874649048,11.059380531311,15.0200004577637,42517.3968253968,13.5118599467807,17343734,434927808,123292000,416919000,293627000,7735000,0,0,0,11257000,68874000,251831025.619331,Inf,0.0270004485283712,0,0.649052851018126,22.3710602842082,1.26602287274226,"BUY",161,39.6551724137931,206,50.7389162561576,173.5,42.7339901477833
"PASSAT","PSAT.PA",8.25,4.80000019073486,4.38000011444092,8.30000019073486,6836.27777777778,6.01349206576272,2225482,15570500,6837000,38744000,31392000,7260000,-8e+05,-210500,-1010500,193500,7235500,18360226.5,-8.54625,0.00499432170142474,-0.06489836549886,0.0869474567756558,94.8848914728682,1.71874993170301,"HOLD",15,3.69458128078818,352,86.6995073891626,173.5,42.7339901477833
"Altri","ALTR.LS",5.98999977111816,4.23600006103516,3.20199990272522,6.17999982833862,426166,4.74735199546814,61937457,1870402688,1040654000,1485975000,445321000,254569000,0,0,0,10690000,146102000,371005353.253641,Inf,0.00719392991133767,0,0.17259345988325,34.7058328581517,1.41406980283527,"HOLD",92.5,22.7832512315271,274,67.487684729064,172,42.3645320197044
"CRCAM LOIRE HTE L.","CRLO.PA",79.5,66.2205352783203,62.6631927490234,81.9700012207031,239.880952380952,72.8884382096548,997483,391975232,10017911000,12230733000,2212816000,328447000,49823500,-3497500,46326000,19532000,94287500,79299898.5,201.067990004717,0.00159696070546222,0.118186038856659,19.5812860971064,4.05999889924227,1.20053393808834,"HOLD",189.5,46.6748768472906,176,43.3497536945813,171,42.1182266009852
"ATOSS SOFTWARE AG","AOF.DE",158,131.5,116,197,6975.10483870968,152.786290322581,4166489,1232256384,35640256,67953101,32381887,23408265,0,0,0,5795070,24932411,658305262,Inf,0.0852804348104732,0,1.3908761069572,113.597465086703,1.20152091254753,"BUY",187,46.0591133004926,178,43.8423645320197,170,41.871921182266
"Vaisala Oyj A","VAIAS.HE",31.8500003814697,38.9502487182617,29.4334373474121,41.7954788208008,14639.4086956522,36.446384827987,19702270,1174889984,146300000,351800000,205100000,45400000,24300000,-6600000,17700000,8500000,106900000,627517307.01582,6.02057613168724,0.0241614553723707,0.0150652403553046,0.431422369097571,73.8255655312729,0.817709807499559,"HOLD",356,87.6847290640394,8,1.97044334975369,168,41.3793103448276
"SOFTIMAT","SOFT.BR",2.42000007629395,2.33999991416931,2.24000000953674,2.6800000667572,1141.69841269841,2.44079366373637,2408901,-6810620,13689000,27763000,14074000,18518000,14799500,-56000,14743500,5624000,259500,5829540.60378456,0.924963681205446,0.202571768180672,-2.16478088632166,2.33467460887766,1.03654704903708,1.03418810472608,"BUY",286,70.4433497536946,78,19.2118226600985,168,41.3793103448276
