CompanyName;ticker;country;industry;euroidx
Evonik Industries AG;EVK.DE;DE;;
LANXESS Aktiengesellschaft;LXS.DE;DE;;
LEG Immobilien AG;LEG.DE;DE;INM;
TAG Immobilien AG;TEG.DE;DE;INM;
Fuchs Petrolub SE;FPE3.DE;DE;CHE;
Sudzucker AG;SZU.DE;DE;;
Durr Aktiengesellschaft;DUE.DE;DE;;
Hannover Ruck SE;HNR1.DE;DE;;
Hugo Boss AG;BOSS.DE;DE;;
Steinhoff International Holdings N.V.;SNH.DE;DE;;
Gerresheimer AG;GXI.DE;DE;;
CTS Eventim AG & Co. KGaA;EVD.DE;DE;;
Jungheinrich Aktiengesellschaft;JUN3.DE;DE;;
Fraport AG;FRA.DE;DE;AIR;
Savencia;SAVE.PA ;FR;FOOD;
NOKIA;NOKIA.HE ;FI;TECH;
Intesa San Paolo;ISP.MI;IT;BAN;
Audi;NSU.DE;DE;AUT;
Knorr-Bremse ;KBX.DE;DE;AUT;
Renault;RNA.PA;FR;AUT;
Valeo SA;FR.PA;FR;AUT;
Faurecia S.E. ;EO.PA;FR;AUT;
Compagnie Plastic Omnium SA ;POM.PA;FR;AUT;
Rubis;RUI.PA;FR;UTL;
