CompanyName;tickers;country;industry;ISIN;
Solvay;SOLB.BR;BE;;;
Natixis;KN.PA;FR;;;
BioMerieux;BIM.PA;FR;;;
Groupe Bruxelles Lambert SA ;GBLB.BR;BE;;;
Worldline S.A ;WLN.PA;FR;;;
Ipsen;IPN.PA;FR;;;
Credit Agricola;ACA.PA;FR;BAN;;
Societe Generale ;GLE.PA;FR;BAN;;
Bouygues;EN.PA;FR;;;
Pernod Ricard;RI.PA;FR;;;
Capgemini;CAP.PA;FR;;;
Vinci;DG.PA;FR;;;
Vivendi;VIV.PA;FR;INM;;
Veolia;VIE.PA;FR;;;
MITTAL;MT.AS;HO;;;
JustEat;TKWY.AS;HO;;;
ABN AMRO Bank;ABN.AS;HO;;;
Heineken;HEIA.AS;HO;;;
NN;NN.AS ;HO;;;
KPN;KPN.AS;HO;TEL;;
Pharol;PHR.LS;PO;;;
REDES ENERGETICAS NC;RENE.LS;PO;;;
Sonae;SON.LS;PO;;;
Navigator;NVG.LS;PO;;;
NOS;NOS.LS;PO;;;
Salvatore Fergamo;SFER.MI;IT;;;
;PST.MI;IT;;;
;UBI.MI;IT;BAN;;
;PRY.MI;IT;;;
;LDO.MI;IT;;;
ATLANTIA;ATL.MI;IT;;;
DAVIDE CAMPARI;CPR.MI;IT;;;
;FBK.MI;IT;BAN;;
;IG.MI;IT;UTL;;
;UNI.MI;IT;;;
;ENI.MI;IT;UTL;;
;BMED.MI;IT;BAN;;
;BPE.MI;IT;BAN;;
TENARIS;TEN.MI;IT;;;
;BZU.MI;IT;;;
;SPM.MI;IT;;;
;DIA.MI;IT;SUP;;
Technogym;TGYM.MI;IT;RET;;
De'Longhi S.p.A ;DLG.MI;IT;;;
Gambero Rosso SpA;GAMB.MI;IT;;;
Sacyr;SCYR.MC;ES;CONS;;
Siemens Gamesa Renewable Energy;GAM.MC;ES;IND;;
Tubacex;TUB.MC;ES;IND;;
Red Eléctrica Corporación;REE.MC;ES;UTL;;
Pharma Mar;PHM.MC;ES;PHA;;
Compañía de Distribución Integral Logista Holdings;LOG.MC;ES;TRANS;;
Almirall;ALM.MC;ES;PHA;;
Zardoya Otis;ZOT.MC;ES;IND;;
Naturgy;NTGY.MC;ES;UTL;;
ENCE;ENC.MC;ES;IND;;
