"CompanyName";"tickers";"country";"industry";"ISIN"
"BENFICA";"SLBEN.LS";"PO";NA;"PTSLB0AM0010"
"BIC";"BB.PA";"FR";NA;"FR0000120966"
"BIGBEN INTERACTIVE";"BIG.PA";"FR";NA;"FR0000074072"
"BIO-UV GROUP";"ALTUV.PA";"FR";NA;"FR0013345493"
"BIOCARTIS";"BCART.BR";"BE";NA;"BE0974281132"
"BIOCORP";"ALCOR.PA";"FR";NA;"FR0012788065"
"BIOPHYTIS";"ALBPS.PA";"FR";NA;"FR0012816825"
"BIOSYNEX";"ALBIO.PA";"FR";NA;"FR0011005933"
"BIOSYNEX BSAR";"BIOBS.PA";"FR";NA;"FR0013517380"
"BLUELINEA";"ALBLU.PA";"FR";NA;"FR0011041011"
"BLUELINEA BSA J";"BLUBS.PA";"FR";NA;"FR0013480969"
"BOIRON";"BOI.PA";"FR";NA;"FR0000061129"
"BOLLORE";"BOL.PA";"FR";NA;"FR0000039299"
"BONDUELLE";"BON.PA";"FR";NA;"FR0000063935"
"BONE THERAPEUTICS";"BOTHE.BR";"BE";NA;"BE0974280126"
"BOOSTHEAT";"BOOST.PA";"FR";NA;"FR0011814938"
"BOSKALIS WESTMIN";"BOKA.AS";"HO";NA;"NL0000852580"
"BOURSE DIRECT";"BSD.PA";"FR";NA;"FR0000074254"
"BOUSSARD GAVAUDAN";"BGHL.AS";"HO";NA;"GG00B1FQG453"
"BPOST";"BPOST.BR";"BE";NA;"BE0974268972"
"BREDERODE";"BREB.BR";"BE";NA;"LU1068091351"
"CAIRN HOMES PLC";"C5H.IR";"IR";NA;"IE00BWY4ZF18"
"CAPELLI";"CAPLI.PA";"FR";NA;"FR0012969095"
"CARBIOS";"ALCRB.PA";"FR";NA;"FR0011648716"
"CARE PROPERTY INV.";"CPINV.BR";"BE";NA;"BE0974273055"
"CARMAT";"ALCAR.PA";"FR";NA;"FR0010907956"
"CARMILA";"CARM.PA";"FR";NA;"FR0010828137"
"CASINO GUICHARD";"CO.PA";"FR";NA;"FR0000125585"
"CATANA GROUP";"CATG.PA";"FR";NA;"FR0010193052"
"CATERING INTL SCES";"CTRG.PA";"FR";NA;"FR0000064446"
"CBO TERRITORIA";"CBOT.PA";"FR";NA;"FR0010193979"
"CEGEDIM";"CGM.PA";"FR";NA;"FR0000053506"
"CELLECTIS";"ALCLS.PA";"FR";NA;"FR0010425595"
"CELYAD";"CYAD.BR";"BE";NA;"BE0974260896"
"CFE";"CFEB.BR";"BE";NA;"BE0003883031"
"CGG";"CGG.PA";"FR";NA;"FR0013181864"
"CGG BSA 1";"CGGBS.PA";"FR";NA;"FR0013309614"
"CGG BSA 2";"CGGBT.PA";"FR";NA;"FR0013309622"
"CHARGEURS";"CRI.PA";"FR";NA;"FR0000130692"
"CHRISTIAN DIOR";"CDI.PA";"FR";NA;"FR0000130403"
"CIBOX INTER A CTIV";"CIB.PA";"FR";NA;"FR0000054322"
"CLARANOVA";"CLA.PA";"FR";NA;"FR0013426004"
"CM.COM";"CMCOM.AS";"HO";NA;"NL0012747059"
"CNP ASSURANCES";"CNP.PA";"FR";NA;"FR0000120222"
"COCA-COLA EUROPEAN";"CCEP.AS";"HO";NA;"GB00BDCPN049"
"COFACE";"COFA.PA";"FR";NA;"FR0010667147"
"COFINA,SGPS";"CFN.LS";"PO";NA;"PTCFN0AE0003"
"COHERIS";"COH.PA";"FR";NA;"FR0004031763"
"COIL";"ALCOI.PA";"FR";NA;"BE0160342011"
"CORBION";"CRBN.AS";"HO";NA;"NL0010583399"
"CORE LABORATORIES";"CLB.AS";"HO";NA;"NL0000200384"
"CRCAM BRIE PIC2CCI";"CRBP2.PA";"FR";NA;"FR0010483768"
"CRCAM NORD CCI";"CNF.PA";"FR";NA;"FR0000185514"
"CRESCENT";"OPTI.BR";"BE";NA;"BE0003836534"
"CROSSJECT";"ALCJ.PA";"FR";NA;"FR0011716265"
"CS GROUP.";"SX.PA";"FR";NA;"FR0007317813"
"CTAC";"CTAC.AS";"HO";NA;"NL0000345577"
"CYBERGUN";"ALCYB.PA";"FR";NA;"FR0013505583"
"CYBERGUN BSA 1";"CYBBS.PA";"FR";NA;"FR0013340809"
"CYBERGUN BSA K2A";"CYBKA.PA";"FR";NA;"FR0013507985"
"D'IETEREN";"DIE.BR";"BE";NA;"BE0974259880"
"DALATA HOTEL GP.";"DHG.IR";"IR";NA;"IE00BJMZDW83"
"DASSAULT AVIATION";"AM.PA";"FR";NA;"FR0000121725"
"DBT";"ALDBT.PA";"FR";NA;"FR0013066750"
"DBV TECHNOLOGIES";"DBV.PA";"FR";NA;"FR0010417345"
"DECEUNINCK";"DECB.BR";"BE";NA;"BE0003789063"
"DEDALUS FRANCE";"DEDAL.PA";"FR";NA;"FR0000052623"
"DEINOVE";"ALDEI.PA";"FR";NA;"FR0010879056"
"DELFINGEN";"ALDEL.PA";"FR";NA;"FR0000054132"
"DELTA DRONE";"ALDR.PA";"FR";NA;"FR0011522168"
"DELTA DRONE BSA Y";"ALDBY.PA";"FR";NA;"FR0013400991"
